YouTubeID,Start,End,Labels1,Labels2,AllLabels
-wMsOTnj0XE,340.0,350.0," ""/m/07qw_06","/m/09x0r"""," ""/m/07qw_06, /m/09x0r"""
-wip6fvA10Q,19.0,29.0," ""/m/07pzfmf","/m/09x0r"""," ""/m/07pzfmf, /m/09x0r"""
-xeYpMf97eU,180.0,190.0," ""/m/07pbtc8","/m/09x0r"""," ""/m/07pbtc8, /m/09x0r"""
-z0muTLomL4,11.0,21.0," ""/m/07r4wb8","/m/09x0r"""," ""/m/07r4wb8, /m/09x0r"""
-z7_vq6OYb0,30.0,40.0," ""/m/09x0r","/t/dd00006"""," ""/m/09x0r, /t/dd00006"""
-zBm-sH0vOk,50.0,60.0," ""/m/07rrlb6","/m/09x0r"""," ""/m/07rrlb6, /m/09x0r"""
0150dZu3Na8,0.0,8.0," ""/m/02zsn","/m/09x0r"""," ""/m/02zsn, /m/09x0r"""
021B2ozAjNg,110.0,120.0," ""/m/01h8n0","/m/09x0r"""," ""/m/01h8n0, /m/09x0r"""
02JEvDAcq7U,10.0,20.0," ""/m/03wwcy","/m/09x0r"""," ""/m/03wwcy, /m/09x0r"""
02R_w3cr1i4,5.0,15.0," ""/m/06h7j","/m/09x0r"""," ""/m/06h7j, /m/09x0r"""
03kFLTZguBs,100.0,110.0," ""/m/0463cq4","/m/09x0r"""," ""/m/0463cq4, /m/09x0r"""
04JKX_vlePE,90.0,100.0," ""/m/01y3hg","/m/09x0r"""," ""/m/01y3hg, /m/09x0r"""
06k-cXmaeAY,30.0,40.0," ""/m/07r_k2n","/m/09x0r"""," ""/m/07r_k2n, /m/09x0r"""
07T0BRnolXg,30.0,40.0," ""/m/09x0r","/m/0dv3j"""," ""/m/09x0r, /m/0dv3j"""
07aVkZp3k7Q,80.0,90.0," ""/m/01d3sd","/m/09x0r"""," ""/m/01d3sd, /m/09x0r"""
08JpxCv_Bek,30.0,40.0," ""/m/07rjzl8","/m/09x0r"""," ""/m/07rjzl8, /m/09x0r"""
09aRpEfUxT0,30.0,40.0," ""/g/122z_qxw","/m/09x0r"""," ""/g/122z_qxw, /m/09x0r"""
09w-ZFasRvE,60.0,70.0," ""/m/01h8n0","/m/09x0r"""," ""/m/01h8n0, /m/09x0r"""
0CDP7zl6wCQ,30.0,40.0," ""/m/02rtxlg","/m/09x0r"""," ""/m/02rtxlg, /m/09x0r"""
0DgH-2g6Tmk,30.0,40.0," ""/m/07qb_dv","/m/09x0r"""," ""/m/07qb_dv, /m/09x0r"""
0Ei3BcBr5aE,30.0,40.0," ""/m/07s0dtb","/m/09x0r"""," ""/m/07s0dtb, /m/09x0r"""
0I3E-auy8JA,30.0,40.0," ""/m/01jnbd","/m/09x0r"""," ""/m/01jnbd, /m/09x0r"""
0KXI3QmISXM,30.0,40.0," ""/m/07pbtc8","/m/09x0r"""," ""/m/07pbtc8, /m/09x0r"""
0LoFUGfk6MY,270.0,280.0," ""/m/06h7j","/m/09x0r"""," ""/m/06h7j, /m/09x0r"""
0M8SMwwe0Ow,30.0,40.0," ""/m/06bz3","/m/09x0r"""," ""/m/06bz3, /m/09x0r"""
0MOeailZgUo,70.0,80.0," ""/m/09x0r","/m/0llzx"""," ""/m/09x0r, /m/0llzx"""
0NbN9By4eYw,30.0,40.0," ""/m/07qw_06","/m/09x0r"""," ""/m/07qw_06, /m/09x0r"""
0NmeO0eH9ig,300.0,310.0," ""/m/07qyrcz","/m/09x0r"""," ""/m/07qyrcz, /m/09x0r"""
0OLpIiSBlfc,60.0,70.0," ""/m/07ppn3j","/m/09x0r"""," ""/m/07ppn3j, /m/09x0r"""
0QSZ9Fr1qeQ,30.0,40.0," ""/m/09x0r","/m/0gvgw0"""," ""/m/09x0r, /m/0gvgw0"""
0RlxIDv_78w,1.0,11.0," ""/m/07rwj3x","/m/09x0r"""," ""/m/07rwj3x, /m/09x0r"""
0StCxWx9dV8,30.0,40.0," ""/m/07pbtc8","/m/09x0r"""," ""/m/07pbtc8, /m/09x0r"""
0SypBcVpZ0E,140.0,150.0," ""/m/07rkbfh","/m/09x0r"""," ""/m/07rkbfh, /m/09x0r"""
0WZ8CocF6DQ,30.0,40.0," ""/m/09x0r","/m/0dv3j"""," ""/m/09x0r, /m/0dv3j"""
0WcaojOADSk,490.0,500.0," ""/m/07qcx4z","/m/09x0r"""," ""/m/07qcx4z, /m/09x0r"""
0WmhtEzutdc,70.0,80.0," ""/m/07prgkl","/m/09x0r"""," ""/m/07prgkl, /m/09x0r"""
0Wovyc4_k8Y,30.0,40.0," ""/m/01c194","/m/09x0r"""," ""/m/01c194, /m/09x0r"""
0XVYUK5G_sw,21.0,31.0," ""/m/07swgks","/m/09x0r"""," ""/m/07swgks, /m/09x0r"""
0XjfhlZVmO0,60.0,70.0," ""/m/07s04w4","/m/09x0r"""," ""/m/07s04w4, /m/09x0r"""
0YHK15saav8,580.0,590.0," ""/m/03fwl","/m/0jbk"""," ""/m/03fwl, /m/0jbk"""
0Zh8HjR0CbM,25.0,35.0," ""/m/07qv_x_","/m/09x0r"""," ""/m/07qv_x_, /m/09x0r"""
0aqEAvk8zQY,280.0,290.0," ""/m/07s04w4","/m/09x0r"""," ""/m/07s04w4, /m/09x0r"""
0dLpcotJusI,30.0,40.0," ""/m/06bz3","/m/09x0r"""," ""/m/06bz3, /m/09x0r"""
0fFIg5WLnm0,30.0,40.0," ""/m/09x0r","/t/dd00018"""," ""/m/09x0r, /t/dd00018"""
0ghsGP6AeHw,30.0,40.0," ""/m/01s0vc","/m/09x0r"""," ""/m/01s0vc, /m/09x0r"""
0hoeAmqwvyY,160.0,170.0," ""/m/09x0r","/m/0brhx"""," ""/m/09x0r, /m/0brhx"""
0iNkEzDn2ys,580.0,590.0," ""/m/07p6fty","/m/09x0r"""," ""/m/07p6fty, /m/09x0r"""
0ibiAsHSauA,30.0,40.0," ""/m/01s0vc","/m/09x0r"""," ""/m/01s0vc, /m/09x0r"""
0jzTEIxgsjM,30.0,40.0," ""/m/09x0r","/m/0brhx"""," ""/m/09x0r, /m/0brhx"""
0kGkJuynFEI,20.0,30.0," ""/m/012xff""",," ""/m/012xff"""
0l1Z-qU6dtI,30.0,40.0," ""/m/04fgwm","/m/09x0r"""," ""/m/04fgwm, /m/09x0r"""
0l70KR79oOI,30.0,40.0," ""/m/02y_763","/m/09x0r"""," ""/m/02y_763, /m/09x0r"""
0qZ3tI4nAZE,6.0,16.0," ""/m/07qrkrw","/m/09x0r"""," ""/m/07qrkrw, /m/09x0r"""
0rAyrmm7vv0,30.0,40.0," ""/m/09x0r","/m/0brhx"""," ""/m/09x0r, /m/0brhx"""
0v--fTVAWE8,170.0,180.0," ""/m/07s04w4","/m/09x0r"""," ""/m/07s04w4, /m/09x0r"""
0vjJHHSeCqM,40.0,50.0," ""/m/07pp8cl","/m/09x0r"""," ""/m/07pp8cl, /m/09x0r"""
0y7HFtVsLiw,80.0,90.0," ""/m/02g901","/m/09x0r"""," ""/m/02g901, /m/09x0r"""
0zI3XimbdLI,30.0,40.0," ""/m/07qb_dv","/m/09x0r"""," ""/m/07qb_dv, /m/09x0r"""
1-fXYR9FTfM,30.0,40.0," ""/m/07pjwq1","/m/09x0r"""," ""/m/07pjwq1, /m/09x0r"""
100CKdZMyQw,20.0,30.0," ""/m/07pc8lb","/m/09x0r"""," ""/m/07pc8lb, /m/09x0r"""
10mtAupS0I4,0.0,10.0," ""/m/07qrkrw","/m/09x0r"""," ""/m/07qrkrw, /m/09x0r"""
12hZKc3FZOY,210.0,220.0," ""/m/04gxbd","/m/09x0r"""," ""/m/04gxbd, /m/09x0r"""
12yjIm0Z8Cw,80.0,90.0," ""/m/07qc9xj","/m/09x0r"""," ""/m/07qc9xj, /m/09x0r"""
13gVMuGhK3g,240.0,250.0," ""/m/018w8","/m/09x0r"""," ""/m/018w8, /m/09x0r"""
15cExYBs0D4,360.0,370.0," ""/m/028v0c","/m/09x0r"""," ""/m/028v0c, /m/09x0r"""
161-FGTcecc,120.0,130.0," ""/m/07r4k75","/m/09x0r"""," ""/m/07r4k75, /m/09x0r"""
17BqM45nQxI,50.0,60.0," ""/m/07qs1cx","/m/09x0r"""," ""/m/07qs1cx, /m/09x0r"""
192AgE8E-cw,140.0,150.0," ""/m/018w8","/m/09x0r"""," ""/m/018w8, /m/09x0r"""
1BTJQY-2OwY,100.0,110.0," ""/m/024dl","/m/09x0r"""," ""/m/024dl, /m/09x0r"""
1BXaCy0ox3c,280.0,290.0," ""/m/012xff""",," ""/m/012xff"""
1DH7AhyL0KU,13.0,23.0," ""/m/07qlf79","/m/09x0r"""," ""/m/07qlf79, /m/09x0r"""
1DxLwZhTj0A,30.0,40.0," ""/m/07r5v4s","/m/09x0r"""," ""/m/07r5v4s, /m/09x0r"""
1FBW61gbpaA,570.0,580.0," ""/m/018w8","/m/09x0r"""," ""/m/018w8, /m/09x0r"""
1FQjqLc6m7w,30.0,40.0," ""/m/0939n_","/m/09x0r"""," ""/m/0939n_, /m/09x0r"""
1G0ibSUBv2g,30.0,40.0," ""/m/07bjf","/m/09x0r"""," ""/m/07bjf, /m/09x0r"""
1GG3QoDNLFM,30.0,40.0," ""/m/09x0r","/m/0c3f7m"""," ""/m/09x0r, /m/0c3f7m"""
1LqxWWqSQe4,30.0,40.0," ""/m/07swgks","/m/09x0r"""," ""/m/07swgks, /m/09x0r"""
1M-zH_FQDdM,30.0,40.0," ""/m/09x0r","/m/0chx_"""," ""/m/09x0r, /m/0chx_"""
1MrNSdFGxtE,130.0,140.0," ""/m/09x0r","/t/dd00013"""," ""/m/09x0r, /t/dd00013"""
1NBfq3jtaC8,30.0,40.0," ""/m/07swgks","/m/09x0r"""," ""/m/07swgks, /m/09x0r"""
1O7poxGGFws,110.0,120.0," ""/m/09x0r","/m/0ghcn6"""," ""/m/09x0r, /m/0ghcn6"""
1PXdsHgpRgA,30.0,40.0," ""/m/07r4wb8","/m/09x0r"""," ""/m/07r4wb8, /m/09x0r"""
1TB3-XSom_A,30.0,40.0," ""/m/09x0r","/t/dd00002"""," ""/m/09x0r, /t/dd00002"""
1UUgZFviPSo,50.0,60.0," ""/m/07s04w4","/m/09x0r"""," ""/m/07s04w4, /m/09x0r"""
1W0qnjiRqiI,160.0,170.0," ""/m/028ght","/m/09x0r"""," ""/m/028ght, /m/09x0r"""
1XnU-eIbupI,180.0,190.0," ""/m/0642b4","/m/09x0r"""," ""/m/0642b4, /m/09x0r"""
1YwsFFOZ1bY,10.0,20.0," ""/m/02p3nc","/m/09x0r"""," ""/m/02p3nc, /m/09x0r"""
1Zr6S42P81k,470.0,480.0," ""/m/012xff""",," ""/m/012xff"""
1_JunAtzHms,270.0,280.0," ""/m/02z32qm","/m/09x0r"""," ""/m/02z32qm, /m/09x0r"""
1a6-xAO5Dik,30.0,40.0," ""/m/01s0vc","/m/09x0r"""," ""/m/01s0vc, /m/09x0r"""
1a6ziKisD4Q,30.0,40.0," ""/m/05rj2","/m/09x0r"""," ""/m/05rj2, /m/09x0r"""
1aEh44p0EqY,30.0,40.0," ""/m/02qldy","/m/09x0r"""," ""/m/02qldy, /m/09x0r"""
1cFHCB6bR8I,40.0,50.0," ""/m/024dl","/m/09x0r"""," ""/m/024dl, /m/09x0r"""
1dUdXkgyO9k,30.0,40.0," ""/m/06h7j","/m/09x0r"""," ""/m/06h7j, /m/09x0r"""
1eW-T6vtO7k,100.0,110.0," ""/m/09x0r","/m/0lyf6"""," ""/m/09x0r, /m/0lyf6"""
1et9yT2BYD0,30.0,40.0," ""/m/07s34ls","/m/09x0r"""," ""/m/07s34ls, /m/09x0r"""
1f6pK2x8T1s,30.0,40.0," ""/m/01h82_","/m/09x0r"""," ""/m/01h82_, /m/09x0r"""
1fjITP_5GKc,30.0,40.0," ""/m/07swgks","/m/09x0r"""," ""/m/07swgks, /m/09x0r"""
1gr_BhwBB6o,30.0,40.0," ""/m/09x0r","/t/dd00001"""," ""/m/09x0r, /t/dd00001"""
1jc3YPwYfC4,220.0,230.0," ""/m/01b_21","/m/09x0r"""," ""/m/01b_21, /m/09x0r"""
1kjnqM-ptrk,110.0,120.0," ""/m/07rn7sz","/m/09x0r"""," ""/m/07rn7sz, /m/09x0r"""
1kodCcFED6E,50.0,60.0," ""/m/09x0r","/m/0lyf6"""," ""/m/09x0r, /m/0lyf6"""
1l37vMB7dic,190.0,200.0," ""/m/09x0r","/m/0llzx"""," ""/m/09x0r, /m/0llzx"""
1lF4g89LKmc,0.0,10.0," ""/m/07q5rw0","/m/09x0r"""," ""/m/07q5rw0, /m/09x0r"""
1mOxqUT_AKc,30.0,40.0," ""/m/07pbtc8","/m/09x0r"""," ""/m/07pbtc8, /m/09x0r"""
1mtro6Jnz3c,30.0,40.0," ""/m/06bz3","/m/09x0r"""," ""/m/06bz3, /m/09x0r"""
1pJkb87_m_0,30.0,40.0," ""/m/07swgks","/m/09x0r"""," ""/m/07swgks, /m/09x0r"""
1qBjFpRa0LA,40.0,50.0," ""/m/05rj2","/m/09x0r"""," ""/m/05rj2, /m/09x0r"""
1tWHY-_ZqpM,30.0,40.0," ""/m/02y_763","/m/09x0r"""," ""/m/02y_763, /m/09x0r"""
1u_aTrPYpDY,30.0,40.0," ""/m/08j51y","/m/09x0r"""," ""/m/08j51y, /m/09x0r"""
1vKYSmkBYS8,370.0,380.0," ""/m/012xff""",," ""/m/012xff"""
1yHJDtjtSCo,24.0,34.0," ""/m/07swgks","/m/09x0r"""," ""/m/07swgks, /m/09x0r"""
1zFcAqNQBZY,30.0,40.0," ""/m/06h7j","/m/09x0r"""," ""/m/06h7j, /m/09x0r"""
21hoAaR-W_c,160.0,170.0," ""/m/09x0r","/m/0fx9l"""," ""/m/09x0r, /m/0fx9l"""
229OPDf-tCQ,40.0,50.0," ""/m/07q6cd_","/m/09x0r"""," ""/m/07q6cd_, /m/09x0r"""
25uBY_Z_7eM,500.0,510.0," ""/m/09x0r","/m/0c2wf"""," ""/m/09x0r, /m/0c2wf"""
2Be4jTJVsZ4,30.0,40.0," ""/m/07c52","/m/09x0r"""," ""/m/07c52, /m/09x0r"""
2Cb9U8poEEI,550.0,560.0," ""/m/07pc8lb","/m/09x0r"""," ""/m/07pc8lb, /m/09x0r"""
2ClQcAd-wJg,30.0,40.0," ""/m/030rvx","/m/09x0r"""," ""/m/030rvx, /m/09x0r"""
2CvioUWZjlo,30.0,40.0," ""/m/09x0r","/m/0chx_"""," ""/m/09x0r, /m/0chx_"""
2DtIskP6SN0,30.0,40.0," ""/m/07pbtc8","/m/09x0r"""," ""/m/07pbtc8, /m/09x0r"""
2E0OsrYbzAI,10.0,20.0," ""/m/09x0r","/m/0g6b5"""," ""/m/09x0r, /m/0g6b5"""
2E346_XUqKg,30.0,40.0," ""/m/07qjznt","/m/09x0r"""," ""/m/07qjznt, /m/09x0r"""
2EVcnKR39PI,30.0,40.0," ""/m/07r4wb8","/m/09x0r"""," ""/m/07r4wb8, /m/09x0r"""
2IRvx2GQ39M,0.0,7.0," ""/m/05x_td","/m/09x0r"""," ""/m/05x_td, /m/09x0r"""
2K5j6V0vsvM,30.0,40.0," ""/m/02rtxlg","/m/09x0r"""," ""/m/02rtxlg, /m/09x0r"""
2MWzuMAxMlE,0.0,10.0," ""/m/012xff","/m/09x0r"""," ""/m/012xff, /m/09x0r"""
2NicfBB6lNw,320.0,330.0," ""/m/01bjv","/m/09x0r"""," ""/m/01bjv, /m/09x0r"""
2O22edWULCE,20.0,30.0," ""/m/07pqn27","/m/09x0r"""," ""/m/07pqn27, /m/09x0r"""
2OROEX0O-kw,30.0,40.0," ""/m/07qnq_y","/m/09x0r"""," ""/m/07qnq_y, /m/09x0r"""
2P1vG5m_l6s,240.0,250.0," ""/m/07pzfmf","/m/09x0r"""," ""/m/07pzfmf, /m/09x0r"""
2PFH3v-i4sE,90.0,100.0," ""/m/03cczk","/m/09x0r"""," ""/m/03cczk, /m/09x0r"""
2QcOD8uCu0E,0.0,10.0," ""/m/07pp8cl","/m/09x0r"""," ""/m/07pp8cl, /m/09x0r"""
2Qrkz7YP7IA,30.0,40.0," ""/m/07c52","/m/09x0r"""," ""/m/07c52, /m/09x0r"""
2RG9rOHHYWY,30.0,40.0," ""/m/02p3nc","/m/09x0r"""," ""/m/02p3nc, /m/09x0r"""
2TPXZlM7ZbM,350.0,360.0," ""/m/01jg1z","/m/09x0r"""," ""/m/01jg1z, /m/09x0r"""
2TW5ZDk8_A0,20.0,30.0," ""/m/04fq5q","/m/09x0r"""," ""/m/04fq5q, /m/09x0r"""
2VApTcm7Enk,480.0,490.0," ""/m/09x0r","/m/0dl9sf8"""," ""/m/09x0r, /m/0dl9sf8"""
2WvKqN2NrEA,90.0,100.0," ""/m/07rkbfh","/m/09x0r"""," ""/m/07rkbfh, /m/09x0r"""
2Xr8KzAxM_M,30.0,40.0," ""/m/02qldy","/m/09x0r"""," ""/m/02qldy, /m/09x0r"""
2YK5_y1LzHk,160.0,170.0," ""/m/07qv_d5","/m/09x0r"""," ""/m/07qv_d5, /m/09x0r"""
2Yy-PiC089M,30.0,40.0," ""/m/06bz3","/m/09x0r"""," ""/m/06bz3, /m/09x0r"""
2Za7ZWHZqs4,30.0,40.0," ""/m/06bz3","/m/09x0r"""," ""/m/06bz3, /m/09x0r"""
2Zho9K3hq1U,60.0,70.0," ""/m/07qjznt","/m/09x0r"""," ""/m/07qjznt, /m/09x0r"""
2bJHHmKq648,30.0,40.0," ""/m/07plz5l","/m/09x0r"""," ""/m/07plz5l, /m/09x0r"""
2cjUxfgyosk,70.0,80.0," ""/m/07qyrcz","/m/09x0r"""," ""/m/07qyrcz, /m/09x0r"""
2ckEnnHGUmk,14.0,24.0," ""/m/07qmpdm","/m/09x0r"""," ""/m/07qmpdm, /m/09x0r"""
2csUSFecAdI,80.0,90.0," ""/m/0642b4","/m/09x0r"""," ""/m/0642b4, /m/09x0r"""
2dZ2t90Luts,21.0,31.0," ""/m/07s34ls","/m/09x0r"""," ""/m/07s34ls, /m/09x0r"""
2dsY_AHDFc8,0.0,6.0," ""/m/024dl","/m/09x0r"""," ""/m/024dl, /m/09x0r"""
2eU9bQCD9aU,110.0,120.0," ""/m/09x0r","/t/dd00067"""," ""/m/09x0r, /t/dd00067"""
2efDTZwa39s,550.0,560.0," ""/m/07pbtc8","/m/09x0r"""," ""/m/07pbtc8, /m/09x0r"""
2gfu32OcLnA,30.0,40.0," ""/m/09x0r","/t/dd00003"""," ""/m/09x0r, /t/dd00003"""
2i_xXpPIi0w,210.0,220.0," ""/m/01y3hg","/m/09x0r"""," ""/m/01y3hg, /m/09x0r"""
2jraQyyG0qY,10.0,20.0," ""/m/07swgks","/m/09x0r"""," ""/m/07swgks, /m/09x0r"""
2k6u_IlnbME,100.0,110.0," ""/m/02g901","/m/09x0r"""," ""/m/02g901, /m/09x0r"""
2kRcBAZeE4Q,80.0,90.0," ""/m/09x0r","/m/0dv3j"""," ""/m/09x0r, /m/0dv3j"""
2mAbc1JnXXY,10.0,20.0," ""/m/0463cq4","/m/09x0r"""," ""/m/0463cq4, /m/09x0r"""
2mBef9KrCpk,420.0,430.0," ""/m/09x0r","/m/0cj0r"""," ""/m/09x0r, /m/0cj0r"""
2mXZfaHadmU,30.0,40.0," ""/m/07pbtc8","/m/09x0r"""," ""/m/07pbtc8, /m/09x0r"""
2n13-18I_nM,5.0,15.0," ""/m/07r4wb8","/m/09x0r"""," ""/m/07r4wb8, /m/09x0r"""
2nADZL8olrg,460.0,470.0," ""/m/07qlf79","/m/09x0r"""," ""/m/07qlf79, /m/09x0r"""
2rPN7Ry_Hx8,200.0,210.0," ""/m/07rrlb6","/m/09x0r"""," ""/m/07rrlb6, /m/09x0r"""
2sCd_EwzYgY,100.0,110.0," ""/m/07qcx4z","/m/09x0r"""," ""/m/07qcx4z, /m/09x0r"""
2sqHdyT_FUQ,10.0,20.0," ""/m/08p9q4","/m/09x0r"""," ""/m/08p9q4, /m/09x0r"""
2t-2M-FoZkQ,0.0,10.0," ""/m/02c8p","/m/09x0r"""," ""/m/02c8p, /m/09x0r"""
2tgqrxUIozQ,0.0,10.0," ""/m/02c8p","/m/09x0r"""," ""/m/02c8p, /m/09x0r"""
2vI0wOSSKOw,510.0,520.0," ""/m/02x984l","/m/09x0r"""," ""/m/02x984l, /m/09x0r"""
2zukaXFwhdA,40.0,50.0," ""/m/024dl","/m/09x0r"""," ""/m/024dl, /m/09x0r"""
3-CCfu740HE,30.0,40.0," ""/m/01s0vc","/m/09x0r"""," ""/m/01s0vc, /m/09x0r"""
304A20BjLRo,3.0,13.0," ""/m/06h7j","/m/09x0r"""," ""/m/06h7j, /m/09x0r"""
35u-ol6XKhY,30.0,40.0," ""/m/09x0r","/t/dd00005"""," ""/m/09x0r, /t/dd00005"""
37lH9wCrUsI,26.0,36.0," ""/m/07qdb04","/m/09x0r"""," ""/m/07qdb04, /m/09x0r"""
38OjpkpMB0Q,140.0,150.0," ""/m/0463cq4","/m/09x0r"""," ""/m/0463cq4, /m/09x0r"""
38PxHgf90Nk,30.0,40.0," ""/m/07qjznl","/m/09x0r"""," ""/m/07qjznl, /m/09x0r"""
39PRB26zZ6Q,22.0,32.0," ""/m/07rv9rh","/m/09x0r"""," ""/m/07rv9rh, /m/09x0r"""
3AJWaMncNZA,30.0,40.0," ""/m/06bz3","/m/09x0r"""," ""/m/06bz3, /m/09x0r"""
3BSNrdzl-JI,0.0,10.0," ""/m/01m2v","/m/09x0r"""," ""/m/01m2v, /m/09x0r"""
3CHRBNz3-rI,70.0,80.0," ""/m/07rkbfh","/m/09x0r"""," ""/m/07rkbfh, /m/09x0r"""
